Energy (eV)	H2+ [10-17 cm2]	±5%	H+ [10-18 cm2]	±5%
17	0.564	0.028		
20	2.58	0.13		
25	4.76	0.24	0.422	0.021
30	6.42	0.32	0.856	0.043
35	7.42	0.37	1.76	0.09
40	8.12	0.41	2.87	0.14
45	8.39	0.42	4.08	0.20
50	8.59	0.43	4.82	0.24
55	8.74	0.44	5.72	0.29
60	8.82	0.44	6.25	0.31
65	8.80	0.44	6.82	0.34
70	8.79	0.44	7.05	0.35
75	8.71	0.44	7.37	0.37
80	8.63	0.43	7.39	0.37
85	8.53	0.43	7.51	0.38
90	8.43	0.42	7.54	0.38
95	8.35	0.42	7.61	0.38
100	8.24	0.41	7.59	0.38
110	7.97	0.40	7.44	0.37
120	7.80	0.39	7.24	0.36
140	7.39	0.37	6.71	0.34
160	6.99	0.35	6.39	0.32
180	6.55	0.33	5.92	0.30
200	6.22	0.31	5.45	0.27
225	5.85	0.29	5.05	0.25
250	5.51	0.28	4.50	0.22
275	5.15	0.26	4.12	0.21
300	4.90	0.24	3.92	0.20
350	4.43	0.22	3.39	0.17
400	4.07	0.20	2.94	0.15
450	3.72	0.19	2.60	0.13
500	3.49	0.17	2.41	0.12
550	3.17	0.16	2.11	0.11
600	2.98	0.15	1.97	0.10
650	2.84	0.14	1.81	0.09
700	2.66	0.13	1.71	0.09
750	2.56	0.13	1.59	0.08
800	2.42	0.12	1.49	0.07
850	2.34	0.12	1.37	0.07
900	2.22	0.11	1.35	0.07
950	2.10	0.10	1.25	0.06
1000	1.99	0.10	1.17	0.06
