Energy (eV)	(H2O+ + OH+ + O+) [10-16 cm2]	±6%	H+ [10-17 cm2]	±6.5%	O++ [10-19 cm2]	±13%	D2O+ [10-16 cm2]	±6%	OD+ [10-17 cm2]	±7%	O+ [10-18 cm2]	±9%	O++ [10-19 cm2]	±13%	D2+ [10-20 cm2]	±16%	D+ [10-17 cm2]	±6%

E	(H2O+,OH+,O+)	H+		O++		D2O+		OD+		O+		O++		D2+		D+

13.5	0.031	0.002					0.025	0.002										
15	0.122	0.007					0.126	0.008										
17.5	0.269	0.016					0.272	0.016	0.013	0.001								
20	0.422	0.025	0.024	0.002			0.411	0.025	0.145	0.010							0.018	0.001
22.5	0.582	0.035	0.091	0.006			0.549	0.033	0.500	0.035							0.089	0.005
25	0.723	0.043	0.207	0.013			0.652	0.039	0.855	0.060	0.22	0.020					0.185	0.011
30	0.969	0.058	0.433	0.028			0.815	0.049	1.60	0.11	0.37	0.033			1.8	0.3	0.437	0.026
35	1.157	0.07	0.759	0.049			0.958	0.057	2.22	0.16	0.70	0.063			3.9	0.6	0.706	0.042
40	1.316	0.08	1.10	0.07			1.05	0.06	2.64	0.18	1.32	0.12			5.7	0.9	1.05	0.06
45	1.425	0.09	1.45	0.09			1.12	0.07	3.00	0.21	2.07	0.19			7.0	1.1	1.38	0.08
50	1.515	0.09	1.78	0.12			1.18	0.07	3.29	0.23	2.75	0.25			6.5	1.0	1.69	0.10
60	1.637	0.10	2.35	0.15			1.24	0.07	3.64	0.25	3.94	0.35			6.6	1.1	2.25	0.14
70	1.701	0.10	2.79	0.18			1.27	0.08	3.89	0.27	4.84	0.44			6.9	1.1	2.70	0.16
80	1.747	0.10	3.17	0.21			1.31	0.08	4.09	0.29	5.94	0.53			6.3	1.0	3.10	0.19
90	1.758	0.11	3.43	0.22	0.08	0.01	1.31	0.08	4.12	0.29	6.66	0.60	0.11	0.01	7.8	1.3	3.30	0.20
100	1.772	0.11	3.60	0.23	0.19	0.02	1.31	0.08	4.18	0.29	6.95	0.63	0.26	0.03	7.5	1.2	3.49	0.21
110	1.763	0.11	3.70	0.24	0.46	0.06	1.29	0.08	4.15	0.29	7.38	0.66	0.52	0.07	7.3	1.2	3.60	0.22
125	1.735	0.10	3.75	0.24	0.69	0.09	1.27	0.08	4.12	0.29	7.63	0.69	0.68	0.09	6.4	1.0	3.63	0.22
150	1.676	0.10	3.71	0.24	1.16	0.15	1.21	0.07	3.93	0.27	7.52	0.68	0.96	0.13	7.7	1.2	3.56	0.21
175	1.620	0.10	3.66	0.24	1.78	0.23	1.16	0.07	3.81	0.27	7.31	0.66	1.51	0.20	7.1	1.1	3.49	0.21
200	1.569	0.09	3.51	0.23	1.79	0.23	1.12	0.07	3.63	0.25	7.07	0.64	1.67	0.22	5.4	0.9	3.34	0.20
250	1.436	0.09	3.16	0.21	1.95	0.25	1.01	0.06	3.34	0.23	6.34	0.57	1.66	0.22	5.0	0.8	3.01	0.18
300	1.307	0.08	2.84	0.18	1.79	0.23	0.921	0.055	3.11	0.22	5.51	0.50	1.65	0.21	4.5	0.7	2.68	0.16
400	1.131	0.07	2.37	0.15	1.34	0.17	0.789	0.047	2.66	0.19	4.34	0.39	1.22	0.16	4.0	0.6	2.21	0.13
500	0.973	0.058	1.98	0.13	1.05	0.14	0.696	0.042	2.30	0.16	3.73	0.34	1.12	0.15	3.2	0.5	1.88	0.11
600	0.863	0.052	1.72	0.11	0.96	0.13	0.618	0.037	2.03	0.14	3.13	0.28	0.84	0.11	2.9	0.5	1.61	0.10
700	0.762	0.046	1.49	0.10	0.80	0.10	0.555	0.033	1.85	0.13	2.71	0.24	0.76	0.10	3.3	0.5	1.45	0.09
800	0.695	0.042	1.35	0.09	0.80	0.10	0.502	0.030	1.69	0.12	2.40	0.22	0.58	0.08	2.2	0.4	1.27	0.08
900	0.642	0.039	1.20	0.08	0.59	0.08	0.465	0.028	1.56	0.11	2.20	0.20	0.63	0.08	3.2	0.5	1.16	0.07
1000	0.585	0.035	1.09	0.07	0.65	0.09	0.432	0.026	1.43	0.10	1.94	0.17	0.52	0.07	2.4	0.4	1.08	0.06
